epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.996,1.57678,1.39942,1.04086,0.64261,0.62796,0.67052,0.43441,1.4166,1.09122,0.99987,0.000555348,0.000555348,0.000555348
2,578.881,1.22667,0.9603,0.93614,0.73419,0.68835,0.76962,0.52494,1.36136,1.00482,0.98603,0.00100102,0.00100102,0.00100102
3,851.624,1.148,0.89362,0.91868,0.69326,0.6762,0.73882,0.50666,1.32245,1.04213,0.97615,0.00133668,0.00133668,0.00133668
4,1158.88,1.10244,0.84189,0.90798,0.78483,0.71837,0.81762,0.58759,1.24015,0.90312,0.95391,0.0011719,0.0011719,0.0011719
5,1471.3,1.06412,0.80974,0.90104,0.77329,0.70816,0.8058,0.57956,1.22644,0.95713,0.9506,0.00100687,0.00100687,0.00100687
6,1753.35,1.03468,0.78157,0.89493,0.78129,0.72769,0.82351,0.60129,1.20409,0.89274,0.94216,0.000841835,0.000841835,0.000841835
7,2054.83,1.01057,0.75766,0.89038,0.79841,0.74431,0.8433,0.6272,1.17615,0.85687,0.93495,0.000676802,0.000676802,0.000676802
8,2354.48,0.98996,0.73887,0.88535,0.81377,0.75318,0.85408,0.63407,1.16651,0.83073,0.93356,0.000511769,0.000511769,0.000511769
9,2614.26,0.97183,0.72063,0.88131,0.79941,0.75413,0.84813,0.63233,1.15618,0.82272,0.92966,0.000346736,0.000346736,0.000346736
10,2895.15,0.95114,0.70142,0.87802,0.81407,0.76319,0.85946,0.64425,1.14363,0.80951,0.92791,0.000181703,0.000181703,0.000181703
